id,label,comment,domains,ranges
numTracks,Num Tracks,The number of tracks in this album or playlist.,MusicPlaylist,Integer
carbohydrateContent,Carbohydrate Content,The number of grams of carbohydrates.,NutritionInformation,Mass
worstRating,Worst Rating,"The lowest value allowed in this rating system. If worstRating is omitted, 1 is assumed.",Rating,Number Text
ratingCount,Rating Count,The count of total number of ratings.,AggregateRating,Number
currenciesAccepted,Currencies Accepted,"The currency accepted (in <a href=""http://en.wikipedia.org/wiki/ISO_4217"" target=""new"">ISO 4217 currency format</a>).",LocalBusiness,Text
recipeCategory,Recipe Category,"The category of the recipe—for example, appetizer, entree, etc.",Recipe,Text
productID,Product ID,"The product identifier, such as ISBN. For example: <code>&lt;meta itemprop='productID' content='isbn:123-456-789'/&gt;</code>.",Product,Text
performerIn,Performer in,Event that this person is a performer or participant in.,Person,Event
postOfficeBoxNumber,Post Office Box Number,The post offce box number for PO box addresses.,PostalAddress,Text
servesCuisine,Serves Cuisine,The cuisine of the restaurant.,FoodEstablishment,Text
ingredients,Ingredients,An ingredient used in the recipe.,Recipe,Text
partOfSeason,Part of Season,The season to which this episode belongs.,TVEpisode,TVSeason
addressCountry,Address Country,"The country. For example, USA. You can also provide the two-letter <a href=""http://en.wikipedia.org/wiki/ISO_3166-1"" target=""new"">ISO 3166-1 alpha-2 country code</a>.",PostalAddress,Country
maps,Maps,A URL to a map of the place.,Place,Map
streetAddress,Street Address,"The street address. For example, 1600 Amphitheatre Pkwy.",PostalAddress,Text
branchOf,Branch of,"The larger organization that this local business is a branch of, if any.",LocalBusiness,Organization
actors,Actors,"A cast member of the movie, TV series, season, or episode, or video.",TVEpisode Movie TVSeries,Person
jobTitle,Job Title,"The job title of the person (for example, Financial Manager).",Person,Text
postalCode,Postal Code,"The postal code. For example, 94043.",PostalAddress,Text
homeLocation,Home Location,A contact location for a person's residence.,Person,Place ContactPoint
events,Events,The events held at this place or organization.,Organization Place,Event
itemReviewed,Item Reviewed,The item that is being reviewed/rated.,AggregateRating Review,Thing
totalTime,Total Time,"The total time it takes to prepare and cook the recipe, in <a href=""http://en.wikipedia.org/wiki/ISO_8601"" target=""new"">ISO 8601 duration format</a>.",Recipe,Duration
seasonNumber,Season Number,The season number.,TVSeason,Integer
description,Description,A short description of the item.,Thing,Text
transFatContent,Trans Fat Content,The number of grams of trans fat.,NutritionInformation,Mass
exifData,Exif Data,exif data for this object.,ImageObject,Text
expires,Expires,Date the content expires and is no longer useful or available. Useful for videos.,MediaObject,Date
unsaturatedFatContent,Unsaturated Fat Content,The number of grams of unsaturated fat.,NutritionInformation,Mass
director,Director,"The director of the movie, TV episode, or series.",TVEpisode Movie TVSeries,Person
breadcrumb,Breadcrumb,A set of links that can help a user understand and navigate a website hierarchy.,WebPage,Text
uploadDate,Upload Date,Date when this media object was uploaded to this site.,MediaObject,Date
seasons,Seasons,The seasons of the TV series.,TVSeries,TVSeason
deathDate,Death Date,Date of death.,Person,Date
contentLocation,Content Location,The location of the content.,CreativeWork,Place
playerType,Player Type,"Player type required—for example, Flash or Silverlight.",MediaObject,Text
photos,Photos,Photographs of this place.,Place,Photograph ImageObject
url,URL,URL of the item.,Thing,Text
author,Author,The author of this content. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangabely.,CreativeWork,Person Organization
alumni,Alumni,Alumni of educational organization.,EducationalOrganization,Person
model,Model,The model of the product.,Product,Text
audio,Audio,An embeded audio object or URL associated with the content.,CreativeWork,AudioObject
alumniOf,Alumni of,An educational organizations that the person is an alumni of.,Person,EducationalOrganization
